Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,PRIMA LOFTS LL ALB LOFTS 1.1,1373 Broadway,,Menands,NY,12204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.676205,-73.733440,04/06/2021,175102,2021-04-06 00:24:53,,,,,J1772
ELEC,Loews Regency New York - Tesla Destination,540 Park Ave,,New York,NY,10065,,212-759-4100  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764608,-73.969355,11/03/2020,115156,2021-03-11 23:22:17,P,,,11/01/2016,J1772 TESLA
ELEC,Belmont Lake State Park,625 Belmont Ave,,West Babylon,NY,11704,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,40.734133,-73.344549,04/08/2020,123124,2021-03-11 23:22:17,SG,,,04/01/2019,J1772
ELEC,Nissan City - Port Chester,225 Boston Post Rd,,Port Chester,NY,10573,,914-937-1777,E,,Public - Call ahead,Dealership business hours,,,1,,,Non-Networked,,200-9,40.996358,-73.669405,06/09/2020,44184,2021-03-11 23:22:17,P,,,11/30/2011,J1772
ELEC,TOWN GLENVILLE TOWN HALL EV4,Glenville Municipal Center 18 Glenridge Rd,,Glenville,NY,12302,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.867888,-73.928306,04/06/2021,175723,2021-04-06 00:24:53,,,,,J1772
ELEC,MARKET 32 EV BALLTOWN EV1,442 Balltown Rd,,Schenectady,NY,12304,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.775429,-73.893254,04/06/2021,156639,2021-04-06 00:24:53,,,,,J1772
ELEC,BMW OYSTER BAY STATION 01,143-145 NY-106,,Oyster Bay,NY,11771,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.857858,-73.534565,04/06/2021,162454,2021-04-06 00:24:53,,,,,J1772
ELEC,CFL-1 LIBRARY RT 23B,9 NY-9H,,Claverack-Red Mills,NY,12513,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.222970,-73.735540,04/06/2021,146985,2021-04-06 00:24:53,,,,,J1772
ELEC,STATION 1 TOWN OF LG,20 Old Post Rd,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.431325,-73.717171,04/06/2021,162366,2021-04-06 00:24:53,,,,,J1772
ELEC,TOWN OF BABYLON TOWN ANNEX 2,281 Phelps Ln,,North Babylon,NY,11703,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.727922,-73.330925,04/06/2021,162276,2021-04-06 00:24:53,,,,,J1772
ELEC,COLL BROCKPORT FINEARTS LOT G1,168 Holley St,,Brockport,NY,14420,,888-758-4389,E,,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.213812,-77.947162,04/06/2021,183178,2021-04-06 00:24:53,,,,,J1772
ELEC,MTP Parking 31-00 47th Ave - Tesla Destination,31-00 47th Ave,,Long Island City,NY,11101,,718-729-3615  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.742875,-73.935806,11/03/2020,122487,2021-03-11 23:22:17,P,,,03/01/2019,TESLA
ELEC,Village of Mt. Morris - Veterans Park,185 Main St,,Mt. Morris,NY,14510,,866-816-7584,E,,Public - Credit card at all times,24 hours daily; Also accepts PayPal and Apple Pay,A D M V,,4,,,EV Connect,http://evconnect.com/,GPS,42.718547,-77.869580,12/03/2020,168430,2021-03-11 23:22:17,LG,,,09/03/2020,J1772
ELEC,Lucille Ball Memorial Park,42 Dunham Ave,,Celoron,NY,14701,,716-487-4175,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.110155,-79.282850,06/09/2020,157957,2021-03-11 23:22:17,P,,,05/15/2020,J1772
ELEC,165 E 77 ST Garage,165 E 77th Street,Attendant will assist in charging vehicle.  Parking rates apply. Inquire within.,Manhattan,NY,10075,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.773528,-73.959538,04/05/2021,163507,2021-04-05 22:55:21,,,,,J1772
ELEC,RRH CARTER 2FL NGW2,1415 Portland Ave,,Rochester,NY,14621,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.191585,-77.588747,04/06/2021,174455,2021-04-06 00:24:53,,,,,J1772
ELEC,DEWITT EV 1 STATION 2,5400 Butternut Drive,,East Syracuse,NY,13057,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.046277,-76.049236,04/06/2021,162183,2021-04-06 00:24:53,,,,,J1772
ELEC,Rapidpark 480 Riverside (120th St) - Tesla Destination,480 Riverside Dr,,New York,NY,10027,,212-870-6736  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.811206,-73.963782,11/03/2020,115140,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,EPLLC LOCKHEED 6,136 Transistor Pkwy,,Liverpool,NY,13088,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.106487,-76.187960,04/06/2021,145761,2021-04-06 00:24:53,,,,,J1772
ELEC,HIGHBRIDGE HIGHBRIDGE 1,128 Vineyard Ave,,Highland,NY,12528,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.716319,-73.967742,04/06/2021,162243,2021-04-06 00:24:53,,,,,J1772
ELEC,One Seneca Ramp,1 Seneca Dr,,Buffalo,NY,14203,,716-849-5812,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.879878,-78.875574,09/03/2020,104730,2021-03-11 23:22:17,LG,,,04/01/2018,J1772
ELEC,COLCHESTER EV DOWNSVILLEDINER,15185 NY-30,,Downsville,NY,13755,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.079406,-74.993625,04/06/2021,162139,2021-04-06 00:24:53,,,,,J1772
ELEC,RTC WALSH 1,1 Walsh Cir,,Syracuse,NY,13208,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.075874,-76.169700,04/06/2021,152409,2021-04-06 00:24:53,,,,,J1772
ELEC,HYATT PLACE HOTEL AMHERST 1,5020 Main Street,,Amherst,NY,14226,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.960632,-78.769190,04/06/2021,150805,2021-04-06 00:24:53,,,,,J1772
ELEC,EVPASS R FTS-3,135 North James Street,,Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.211430,-75.456940,04/06/2021,180180,2021-04-06 00:24:53,,,,,J1772
ELEC,HAWTHORNE RIDGE STATION 1,30 Community Way,,East Greenbush,NY,12061,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.614954,-73.697103,04/06/2021,180832,2021-04-06 00:24:53,,,,,J1772
ELEC,BREWSTER HONDA STATION01,2 Allview Ave,,Brewster,NY,10509,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.395991,-73.605373,04/06/2021,118998,2021-04-06 00:24:53,,,,,J1772
ELEC,SUNY ADIRONDACK SUNY ACC 1.2,640 Bay Rd,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.355194,-73.654090,04/06/2021,181425,2021-04-06 00:24:53,,,,,J1772
ELEC,Nissan of New Rochelle,2533 Palmer Ave,,New Rochelle,NY,10801,,914-576-7600,E,,Public - Call ahead,Dealership business hours,,,1,1,,Non-Networked,,200-8,40.919104,-73.776645,06/09/2020,44360,2021-03-11 23:22:17,P,,,11/30/2011,CHADEMO J1772
ELEC,PICOTTE 12 CORPORATE 5,12 Corporate Woods Blvd,,Albany,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.685658,-73.766685,04/06/2021,181236,2021-04-06 00:24:53,,,,,J1772
ELEC,35 SUTTON 1 SUTTON PL 2,35 Sutton Pl,,New York,NY,10022,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.758240,-73.959670,04/06/2021,174616,2021-04-06 00:24:53,,,,,J1772
ELEC,HARMONY MILLS 1 FALLSVIEW 1.1,Mohawk St & Cohoes Mills,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.781780,-73.705505,04/06/2021,174735,2021-04-06 00:24:53,,,,,J1772
ELEC,854ELLICOTT 854 ELLICOTT 8,854 Ellicott St,,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.901641,-78.867271,04/06/2021,162228,2021-04-06 00:24:53,,,,,J1772
ELEC,BURNS MGT EXCELSIOR 2,2125 Whistler Ct,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.093545,-73.755342,04/06/2021,173902,2021-04-06 00:24:53,,,,,J1772
ELEC,DORSCHEL VW VW_408149,3817 W Henrietta Rd,,Rochester,NY,14623,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.077718,-77.644172,04/06/2021,162418,2021-04-06 00:24:53,,,,,J1772
ELEC,RRH RIEDMAN CTR NG5,1455 East Ridge Road,,Rochester,NY,14621,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.197330,-77.578410,04/06/2021,174293,2021-04-06 00:24:53,,,,,J1772
ELEC,860 5th Avenue,860 5th Avenue,Located on 67th St between 5th Ave & Madison Ave. - Attendant will assist in charging vehicle.  Parking rates apply. Inquire within.,New York,NY,10065,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.769134,-73.968707,04/05/2021,164702,2021-04-05 22:55:21,,,,,J1772
ELEC,SUNY BUFFALO PARKER 5,185 Hayes Rd,,Buffalo,NY,14214,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.951204,-78.822398,04/06/2021,171282,2021-04-06 00:24:53,,,,,J1772
ELEC,I-SQUARE SOUTH IMAGINE,11 Stranahan Park,,Rochester,NY,14617,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.210108,-77.597875,04/06/2021,180148,2021-04-06 00:24:53,,,,,J1772
ELEC,GGMC Parking Union Square Parking Garage - Tesla Destination,100 E 15th St,,New York,NY,10003,,212-677-2026  877-798-3752,E,,Public,24 hours daily; see valet for access,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.734817,-73.989198,11/03/2020,114988,2021-03-11 23:22:17,P,,,01/01/2016,J1772 TESLA
ELEC,ICE RINK ICE RINK,6 Small World Ave,,Saugerties,NY,12477,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.090708,-73.951019,04/06/2021,162337,2021-04-06 00:24:53,,,,,J1772
ELEC,RRH UNITY POB 2,1561 Long Pond Rd,,Rochester,NY,14626,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.191075,-77.703873,04/06/2021,150002,2021-04-06 00:24:53,,,,,J1772
ELEC,Cafe Crust - Tesla Supercharger,850 County Road 39,,Southampton,NY,11968,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.891900,-72.427000,08/10/2020,102343,2021-03-11 23:22:17,P,,,06/01/2016,TESLA
ELEC,SUNY BUFFALO PARKER 6,185 Hayes Rd,,Buffalo,NY,14214,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.951019,-78.822603,04/06/2021,182223,2021-04-06 00:24:53,,,,,J1772
ELEC,WFM - NORTHEAST WHOLE FOODS 2,214 3rd St,,Gowanus,NY,11215,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.674884,-73.989524,04/06/2021,154371,2021-04-06 00:24:53,,,,,J1772
ELEC,Rochester General Hospital,1425 Portland Ave,,Rochester,NY,14621,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,43.192906,-77.587022,06/09/2020,123068,2021-03-11 23:22:17,P,,,04/01/2019,J1772
ELEC,Chappaqua Train Station,Allan Pl,,Chappaqua,NY,10514,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,41.159024,-73.773454,04/08/2020,123143,2021-03-11 23:22:17,LG,,,04/01/2019,J1772
ELEC,Shops at Main / Transit - Tesla Supercharger,4455  Transit Road,,Buffalo,NY,14221,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-9,42.968700,-78.695700,08/10/2020,102328,2021-03-11 23:22:17,P,,,06/01/2015,TESLA
ELEC,Quik Park 86th St. LLC - Tesla Destination,444 E 86th St,,New York,NY,10028,,212-352-0514  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.775975,-73.947732,11/03/2020,115139,2021-03-11 23:22:17,P,,,01/01/2016,J1772 TESLA
ELEC,HONEST WEIGHT HONEST WEIGHT 2,100 Watervliet av,,Albany,NY,12206,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.678190,-73.781630,04/06/2021,146796,2021-04-06 00:24:53,,,,,J1772
ELEC,SUNY CORTLAND VAN HOESEN 1.1,91 Van Hoesen Hall,,Cortland,NY,13045,,888-758-4389,E,,Public,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.597590,-76.191550,04/06/2021,183386,2021-04-06 00:24:53,,,,,J1772
ELEC,Barons Cove - Tesla Destination,31 W Water St,,Sag Harbor,NY,11963,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.000092,-72.300430,11/03/2020,168607,2021-03-11 23:22:17,P,,,11/03/2020,TESLA
ELEC,Heritage Park - Heritage Trust,633 Mount Sinai-Coram Rd,,Mt. Sinai,NY,11766,,866-816-7584,E,,Public,24 hours daily,,,4,,,EV Connect,http://evconnect.com/,GPS,40.935053,-73.011471,11/09/2020,123126,2021-03-11 23:22:17,P,,,04/01/2019,J1772
ELEC,Staten Island Mall - Richmond Ave Entrance,2655 Richmond Ave,,Staten Island,NY,10314,,888-264-2208,E,,Public,6am-12am daily,,,2,,,Volta,https://voltacharging.com/,GPS,40.581751,-74.168466,10/09/2020,166729,2021-03-23 03:03:24,P,,,08/31/2020,J1772
ELEC,Union College - 50 Yard Line Lot,1261 Lenox Rd,,Schenectady,NY,12308,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,42.816642,-73.924801,05/06/2020,156046,2021-03-11 23:22:17,P,,,05/01/2020,J1772
ELEC,GGMC Parking Alfred - Tesla Destination,161 W 61st St,,New York,NY,10023,,212-397-8949  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.771561,-73.985834,11/03/2020,115027,2021-03-11 23:22:17,P,,,03/01/2017,J1772 TESLA
ELEC,BNL SW of Bldg 400 (2 outlets),Johns Hopkins St,,Upton,NY,11961,,,E,,Public - Credit card at all times,24 hours daily,A D M V,2,,,,Non-Networked,,GPS,40.869551,-72.883361,02/22/2021,184724,2021-03-04 18:40:37,FG,8.0,U.S. Department of Energy,01/15/2021,NEMA515
ELEC,MINNEWASKA EV 1,5281 US-44,,Kerhonkson,NY,12446,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.730037,-74.234883,04/06/2021,182282,2021-04-06 00:24:53,,,,,J1772
ELEC,CHEEKTOWAGA BROADWAY #3,3301 Broadway,,Cheektowaga,NY,14227,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.902649,-78.753210,04/06/2021,183765,2021-04-06 00:24:53,,,,,J1772
ELEC,Staples Plaza - Tesla Supercharger,3379 Crompond Road,,Yorktown Heights,NY,10589,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,12,,Tesla,http://www.teslamotors.com/supercharger,200-8,41.290500,-73.832500,08/10/2020,149366,2021-03-11 23:22:17,P,,,09/30/2019,TESLA
ELEC,2600 6TH AVE CHARGEPOINT 3,2600 6th Ave,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.741960,-73.682154,04/06/2021,143201,2021-04-06 00:24:53,,,,,J1772
ELEC,COMFORT- CHARGE WINGATE 1.1,4054 ny-9l,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.411860,-73.708450,04/06/2021,170683,2021-04-06 00:24:53,,,,,J1772
ELEC,Buttermilk Falls Inn & Spa - Tesla Destination,220 North Rd,,Milton,NY,12547,,845-795-1310  877-798-3752,E,,Public,24 hours daily; for customer use only,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.666684,-73.955378,11/03/2020,114977,2021-03-11 23:22:17,P,,,01/01/2016,J1772 TESLA
ELEC,Bob Johnson Chevrolet,1271 W Ridge Rd,,Rochester,NY,14615,,585-663-4040,E,,Public,24 hours daily; for customer use only,,,1,1,,Non-Networked,,200-9,43.203546,-77.661537,03/03/2020,80871,2021-03-11 23:22:17,P,,,01/01/2010,J1772 J1772COMBO
ELEC,GSH NY DOCTORS PARKING,255 Lafayette Ave,,Suffern,NY,10901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.112090,-74.136560,04/06/2021,123665,2021-04-06 00:24:53,,,,,J1772
ELEC,600 RIVER ROAD 600 RIVER,600 River Rd,,North Tonawanda,NY,14120,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.035576,-78.887184,04/06/2021,152233,2021-04-06 00:24:53,,,,,J1772
ELEC,QUEENSBURY TOWN ACT CTR 2,742 Bay Rd,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.360590,-73.657050,04/06/2021,181133,2021-04-06 00:24:53,,,,,J1772
ELEC,GGMC Ruppert Car Park - Tesla Destination,245 E 90th St,,New York,NY,10128,,212-722-0188  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.780918,-73.950526,11/03/2020,115066,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,Icon Parking University 10 Parking - Tesla Destination,63  E 9th St,,New York,NY,10003,,212-979-5380  877-798-3752,E,,Public - Call ahead,24 hours daily,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.731544,-73.992045,11/03/2020,115177,2021-03-11 23:22:17,P,,,08/15/2016,J1772 TESLA
ELEC,QUEENSBURY TOWN EXIT 18 KIOSK 1,105 Main St,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.298553,-73.676980,04/06/2021,165629,2021-04-06 00:24:53,,,,,J1772
ELEC,SCOTIA EVCHARGE SCOTIA LEVEL 3,138 Mohawk Ave,,Scotia,NY,12302,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.826440,-73.963560,04/06/2021,155135,2021-04-06 00:24:53,,,,,CHADEMO J1772COMBO
ELEC,MOHAWK HARBOR01 STATION #2,220 Harborside  Blvd,,Schenectady,NY,12308,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.825307,-73.931165,04/06/2021,170027,2021-04-06 00:24:53,,,,,J1772
ELEC,"Walmart 2152 - Albany, NY",141 Washington Ave. EXT,,Albany,NY,12205,,833-632-2778,E,,Public,24 hours daily,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,42.694560,-73.848436,04/06/2021,169948,2021-04-06 01:19:10,,,,,CHADEMO J1772COMBO
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,06/09/2020,44329,2021-03-11 23:22:17,P,,,11/30/2011,J1772
ELEC,ULYSSES TOWN ULYSSES,10 Elm St,,Trumansburg,NY,14886,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.541251,-76.661435,04/06/2021,162327,2021-04-06 00:24:53,,,,,J1772
ELEC,DEER PARK TANGER EV 6,152 The Arches Cir,,Deer Park,NY,11729,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.762405,-73.305830,04/06/2021,180165,2021-04-06 00:24:53,,,,,J1772
ELEC,ELECTRIC CAT CATSKILL DISTIL,2037 Nys Hwy 17b,,Bethel,NY,12720,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.684274,-74.877327,04/06/2021,162332,2021-04-06 00:24:53,,,,,J1772
ELEC,VANDERBILTFG 125VFG,125 Froehlich Farm Blvd,,Woodbury,NY,11797,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.802210,-73.477734,04/06/2021,162478,2021-04-06 00:24:53,,,,,J1772
ELEC,Rapidpark 600 Columbus Ave - Tesla Destination,100 W 89th,,New York,NY,10024,,212-265-7854  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.788305,-73.971353,09/30/2019,114990,2021-03-11 23:22:17,P,,,11/01/2018,J1772 TESLA
ELEC,CITY HALL 12534 CITY HALL 2,542 Warren St,,Hudson,NY,12534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.249110,-73.784680,04/06/2021,174708,2021-04-06 00:24:53,,,,,J1772
